0,RMSE005865_TO0324_PNI-17476_000001,"Histoire de l'astronomie moderne; par M. Delambre, chevalier de Saint-Michel...etc., etc. Tome premier [-second] Vol. 1","Delambre, Jean Baptiste Joseph","Paris : chez Courcier, ..., rue du Jardinet-Saint-Andre-des Arcs, n. ",1821,"* | Copertina | 1
"
414,TO0E040676_TO0324_PNI-2162_000000,"Tavole logaritmiche del signor Gardiner corrette da molti errori occorsi nelle edizioni inglese e francese e corredate di una nuova teorico-pratica spiegazione dei loro usi da Stanislao Canovai e Gaetano Del-Ricco ...","Gardiner, William","In Firenze : presso Pietro Allegrini alla Croce Rossa a spese di Giovacchino Pagani",1796,"* | Copertina | 1
* | Frontespizio | 5
* | Prefazione | 7
* | Spiegazione ed usi delle tavole dei logaritmi | 11
* | Copertina | 595
"
415,TO01214444_TO0324_83816_000000,"Description of a machine for resolving by inspection certain important forms of trascendental equations / by Sir J.F.W. Herschel","Herschel, John Frederick William","Cambridge : Printed by J. Smith",1832,"* | Frontespizio | 1
* | Description of a machine for resolving by inspection certain important forms of trascendental equations. By Sir J. F. W. Herschel, member of the Cambridge Philosophical Society | 3
* | Illustrazioni | 18
"
416,SBLE010534_TO0324_PNI-1628_000000,"On the parallax of the fixed stars ... by J. F. W. Herschel","Herschel, John Frederick William","London : Printed by W. Nicol",1826,"* | Copertina | 1
* | Frontespizio | 5
* | Epigramma | 6
* | On the parallax of the fixed stars | 7
"
417,TO0E131691_TO0324_PNI-22873_000000,"An address delivered by J.F.W. Herschel, Esq. President of the Astronomical Society of London; on the occasion of the delivery of the onorary medals of that Society, on February 8, 1828, to Lieut.-Gen. sir T. Macdougal Brisbane, K.C.B. and James Dunlop, Esq","Herschel, John Frederick William","[Londra] : Printed by Richard Taylor, ",1828,"* | Frontespizio | 1
* | An adress delivered by J. F. W. Herschel, Esq. president of the Astronomical society of London; on the occasion of the delivery of the honorary medals of that Society, on February, 1828, to Lieut.-Gen. Sir T. Macdougal Brisbane, K. C. B- and James Dunlop, Esq.  1 | 8
"
418,TO0E131685_TO0324_PNI-22872_000000,"Report of the Committee, appointed by the Council of the Royal Society, to consider the subject refferd to in Mr. Stewart' Letter, relative to Mr. Babbage's Calculating machine, and to report thereupon / [I.T.W. Herschel]","nan","London : Printed by W. Clowes, ",1829,"* | Frontespizio | 1
* | REPORT of the Committee, appinted by the Council of the Royal Society, to consider the subject referred to in Mr. Stewart's Letter, relative to Mr. Babbage's Calculating Engine, and to report thereupon | 1
* | Colophon | 4
"
419,TO0E037101_TO0324_PNI-816_000000,"Lettres de m. Auzout sur les grandes lunettes. Voyages de m. Cassini, en France, en Italie, en Flandre, en Hollande, & en Angleterre. Observations envoyees des Indes & de la Chine a l'Academie Royale des Sciences","Auzout, Adrien","A Amsterdam : chez Pierre Mortier, libraire",1735,"* | Copertina | 1
* | Frontespizio | 5
* | Avertissement du Libraire | 7
* | Occhietto : Lettre à M. l'Abbé Charles, sur le Ragguaglio di due nuove osservazioni da Giuseppe Campani ... | 9
* | Avis au Lecteur | 11
* | Lettre à M. l'Abbé Charles, sur le Ragguaglio di due nuove osservazioni, etc. Da Giuseppe Campani. Par M. Auzout | 13
* | Occhietto : Réponse de Monsieur Hook aux considerations de M. Auzout, contenue dans une lettre écrite a l'auteur des philosophical transaction ... | 83
* | Metonem tumoliane fapestuctus | 84
* | Majuscules semblables à celles qu'on a envoyées de Rome | 85
* | Au lecteur | 86
* | Réponse de M. Hook aux considération de M. Auzout, contenue dans une Lettre écrit à l'Auteur des Philosophical Transaction | 89
* | Lettre à monsieur Oldembourg Secretaire de la Societé Royale d'Angleterre, sur la précedente Réponse de Monsieur Hook | 96
* | Lettre de monsieur Oldembourg, Sécretaire de la Societé Royale d'Angleterre, contenent la seconde Réponse de Monsieur Hook à Monsieur Auzout, etc. | 109
* | Lettre à monsieur Oldembourg Secretaire de la Societé Royale d'Angleterre | 112
* | Occhietto : Observations astronomiques faites en France et en Italie ... | 123
* | Observations astronomiques faites dans les voyages de France et d'Italie. En-1695 et 1696 125 | 1694
* | Occhietto : Observations astronomiques faites en Flandre, en Hollande et en Angleterre. En et 1698. Par M. Cassini, le fils. De l'Academie Royale des Sciences 187 | 1696
* | Observations astronomiques faites en Flandre, en Hollande et en Angleterre | 189
* | Observations astronomiques faites en Angleterre | 217
* | Occhietto : Tables de l'Etoile Polaire, pour trouver à chaque jour de l'année son passage par le Meridien; et a toutes les heures du jour sa declinaison horizontale, et la hauteur du Pole en tous les lieux de la Terre. Par M. Cassini, le fils | 225
* | Tables de l'Etoile Polaire ... | 227
* | Methode dont on s'est servi dans la construction de la table suivante | 235
* | Occhietto : Table des hauteurs du Pole, et des déclinaisons horizontales de l'Etoile Polaire, a toutes les heures du jour, et a tous les degrez de la hauteur de l'Etoile Polaire. Pour l'Année. Par M. Cassini, le fils 237 | 1700
* | Table des hauteurs du Pole. Et des déclinaisons horizontales de l'Etoile Polaire à toutes les heures du jour, pour l'annèe  254 | 1760
* | Observations phisiques et mathématiques, pour servir a la perfection de l'astronomie et de la geographie. Envoyées de Siam à l'Académie Royale des Sciences à Paris, par les Peres Jésuites François qui vont à la Chine en qualité de Mathématiciens du Roy. Avec les reflexions de Messieurs de l'Academie, e quelques Notes du P. Gouye, de la Compagnie de Jesus | 257
* | Observations astronomiques. Faites aux Indes et a la Chine  | 263
* | Observations phisiques et mathematiques, pour servir a la perfection de l'astronomie et de la geographie. Envoyées des Indes e de la Chine à l'académie Royale des Sciences à paris, par les Peres Jesuites. Avec les reflexions de Messieurs de l'Académie, e les Notes du Pere gouye, de la Compagnie de Jesus | 387
* | Avertissement sur les cartes qui sont dans ce Livre | 388
* | Observations phisiques et mathématiques, pour servir a la perfection, de l'Astronomie e de la Géographie | 391
* | Avertissement. Touchant les Observations imprimées dans les Voyages de Siam | 495
* | Observations faites par le P. de Fontanay. A Si-nghan-fu, capitale de la Province de Xensi, pour en déterminer la Latitude | 497
* | Copertina | 523
"
420,SBLE010521_TO0324_PNI-1637_000000,"On the discordances between the sun's observed and computed right ascensions, as determined at the Blackman-Street Observatory, during the years 1821 and 1822; with experiments to show, that they did not originate in instrumental derangement also a description of the seven-feet transit with w / James South","South, James","London : Printed by William Nicol",1826,"* | Frontespizio | 1
* | Epigramma | 2
* | On the discordances, etc. | 3
* | Illustrazioni | 65
"
421,TO0E039250_TO0324_PNI-1538_000000,"The description of a floating collimator. By captain Henry Kater ..","Kater, Henry","London : printed by W. Nicol, Cleveland-row, St. James's",1825,"* | Copertina | 1
* | Frontespizio | 5
* | Epigramma | 6
* | The Description | 7
"
422,TO0E041358_TO0324_PNI-2563_000000,"Astronomical and geographical essays: containing, 1. a full and comprehensive view, on a new plan, of the general principles of astronomy. 2. The use of the celestial and terrestrial globes ... 4. An introduction to practical astronomy ... By George Adams ...","Adams, George ","London : printed for the author, by R. Hindmarsh, printer to His Royal Higness the prince of Wales, no. 32, Clerkenwell-Close; and sold by the author, n. 60, Fleet-street",1790,"* | Copertina | 1
* | Antiporta | 6
* | Frontespizio | 7
* | Preface | 9
* | Advertissement | 15
* | Preparing for the Press, Geometrical and Graphical Essays | 16
* | Table of contents | 17
* | Astronomical Essays | 27
* | A Catalogue of Mathematical and Philosophical Instruments, made and sold by George Adams | 627
* | Tavole | 643
* | Copertina | 687
"
423,TO0E097086_TO0324_PNI-16105_000000,"El padre de su pueblo o medios para hacer temporalmente felices a los pueblos con el auxilio de ... reimpresa ahora ... con permiso de su autor ... Don Pedro Diaz de Valdes ...","Diaz de Valdes, Pedro","Barcelona : en la oficina de Manuel Texero, plaza de San Francisco de Paula",1806,"* | Copertina | 1
* | Frontespizio | 5
* | El Editor | 7
* | El Padre de su Pueblo | 9
* | Adicion | 153
* | Notas | 163
"
424,RMLE017270_TO0324_PNI-13084_000002,"Introductio ad Philosophiam Naturalem auctore Petro van Musschenbroekio. Editio prima italica pluribus adnotationibus emendata aucta atque illustrata. Tomus primus (-secundus) Tomus secundus","Musschenbroek, Petrus : van","",,"* | Copertina | 1
* | Frontespizio | 5
* | Introductio ad philosophiam naturalem. Pars secunda | 7
* | Index Rerum | 640
* | Tavole | 657
* | Copertina | 789
"
425,TO0E039271_TO0324_PNI-1549_000000,"On the variation in the mean motion of the Comet of Encke, produced by the resistance of an ether. By M. Ottaviano Fabrizio Mossotti ...","Mossotti, Ottaviano Fabrizio","",1824,"* | Frontespizio | 1
* | On the Variation in the Mean Motion of the Comet of Encke, produced by the resistance of an other. By M. Ottaviano Fabrizio Mossotti, Uno dei XL della Società Italiana delle Scienze | 1
"
426,TO0E106340_TO0324_PNI-18302_000001,"Elements of physics, or natural philosophy, general and medical, explained independently of technical mathematics, and containing new disquisitions aand practical suggestions. In two volumes. By Neil Arnott, M.D., ... Vol. 1","Arnott, Neil","London : printed for Longman, Rees, Orme, Brown, and Green, Paternoster Row and T. and G. Underwood, Fleet street",1829,"* | Copertina | 1
* | Occhietto : Elements of Physics on Natural Philosophy. Vol. I | 7
* | Advertisement | 8
* | Frontespizio | 9
* | Colophon | 10
* | Preface to the second and subsequent editions | 11
* | Introduction | 15
* | Elements of Natural Philosophy | 55
* | The analytical table | 708
* | Copertina | 719
"
427,SBLE010533_TO0324_PNI-1638_000000,"Account of observations made with a twenty-feet reflecting telescope comprehending ... by J. F. W. Herschel","Herschel, John Frederick William","London : Printed by Richard Taylor Shoe-Lane",1826,"* | Frontespizio | 1
* | Account of some observations made with a-feet reflecting telescope:   3 | 20
* | Illustrazioni | 45
* | Copertina | 53
"
428,MOD0578992_TO0324_59566_000000,"On the astronomical causes which may influence geological phaenomena / by sir J.F.W. Herschel","Herschel, John Frederick William","London : Richard Taylor",1832,"* | Frontespizio | 1
* | On the Astronomical causes which may influence Geological Phenomena. By J. F. W. Herschel, Esq. F- G- S. F. R. S. L et F. correspondent on the Royal Academy of Science of Paris, etc. etc. | 3
"
429,TO01157391_TO0324_62137_000000,"Abstract of a paper entitled Observations on the Temple of Serapis at Pozzuoli : with remarks on certain causes which may produce geological cycles of great extent / by Charles Babbage","Babbage, Charles","London : Printed by Richard Taylor",1834,"* | Frontespizio | 1
* | Abstract, etc. | 3
"
430,LIAE005547_TO0324_PNI-12836_000000,"Compendio d'un corso di lezioni di fisica sperimentale del sig. Giorgio Atwood ... tradotto dall'idioma inglese, ed accresciuto di una Dissertazione sul computo dell'errore probabile nelle sperienze ed osservazioni dal P. Gregorio Fontana ...","Atwood, George ","In Pavia : nella stamperia del R., ed I. Monistero di S. Salvatore",1781,"* | Copertina | 1
* | Frontespizio | 5
* | Dedica : Alla nobilissima ed ornatissima dama la signora marchesa Donna Clementina Botta Adorno nata Marchesa Arconati Visconti dama dell'insigne ordine della crociera  | 7
* | Indice delle sezioni | 13
* | Compendio d'un corso di lezioni di Fisica Sperimentale ... | 17
* | Appendice | 232
* | Occhietto : Dissertazione del P.D. Gregorio Fontana sopra il computo dell'errore probabile nelle sperienze ed osservazioni | 239
* | Epigramma | 240
* | Dissertazione del traduttore sopra computo analitico dell'errore probabile nelle sperienze ed osservazioni | 241
* | Copertina | 295
"
431,TO0E106341_TO0324_PNI-18303_000002,"Elements of physics, or natural philosophy, general and medical, explained independently of technical mathematics, and containing new disquisitions aand practical suggestions. In two volumes. By Neil Arnott, M.D., ... Comprehending the subjects of heat and light Vol. 2","Arnott, Neil","London : printed for Longman, Rees, Orme, Brown, and Green, Paternoster Row and T. and G. Underwood, Fleet street",1829,"* | Copertina | 1
* | Frontespizio | 7
* | Colophon | 8
* | Advertisement to vol. II. part I | 9
* | Elements of Natural Philosophy | 15
* | Copertina | 339
"
432,SBLE010525_TO0324_PNI-1636_000000,"Catalogue of 838 double and triple stars, communicated to the Royal Society, and published in the Philosophical transactions for 1824 and 1826. By James South","South, James","London : Printed by W. Nicol",1826,"* | Frontespizio | 1
* | Catalogue of double and triple stars, communicated to the Royal Society, and published in the Philosophical Transactions for 1824 and 1826 3 | 838
"
433,TO0E040696_TO0324_PNI-2177_000000,"Lezioni elementari di matematiche del sig. abate Marie. Tradotte dal francese ed arricchite d'illustrazioni e di aggiunte daStanislao Canovai e Gaetano Del Ricco ... ed accresciute di nuovi metodi molto importanti in questa quinta edizione","Marie, Joseph Francois","In Firenze : a spese di Guglielmo Piatti mercante di libri presso Pietro Allegrini alla Croce Rossa",1803,"* | Copertina | 1
* | Frontespizio | 5
* | Avviso dell'Editore | 7
* | Indice | 10
* | Errata corrige | 11
* | Lezioni elementari di Matematiche | 13
* | Tavola dei numeri primi col più piccolo divisore dei numeri impari non primi fino a 433 | 100000
* | Tavola delle potenze dei numeri che abbraccia le prime tre fino a le prime sei fino a 300 e le prime dieci fino a 60 469 | 2000
* | Tavole | 489
* | Copertina | 511
"
434,TO0E039272_TO0324_PNI-1551_000000,"Observations on the notation employed in the calculus of functions ... By Charles Babbage ...","Babbage, Charles","Cambridge : printed by J. Smith",1820,"* | Frontespizio | 1
* | Observations on the notation employed in the calculus of functions. By Charles Babbage, M. A. fellow of the royal societies of London and Edinburgh, and of the Cambridge philosophical society   | 3
"
435,TO0E097081_TO0324_PNI-16104_000000,"Tratados sobre la fisica del clero, y otros puntos utiles y provechosos de la ciencias naturales, impresos ... con permiso de su autor ... D. Pedro Diaz de Valdes ...","Diaz de Valdes, Pedro","Barcelona : en la Oficina de Manuel Texero, plaza de San Francisco de Paula",1806,"* | Frontespizio | 1
* | El editor | 3
* | Tratados sobre la fisica | 5
* | Tabla de los discursos contenidos en este Tomo | 222
* | Copertina | 227
"
436,TO01157472_TO0324_62180_000000,"On the advantage of a collection of numbers, to be entitled the constants of nature and art / by Charles Babbage","Babbage, Charles","Edimburgh : John Stark, ",1832,"* | Frontespizio | 1
* | On the advantage of a collection of numbers | 2
"
437,TO0E039274_TO0324_PNI-1552_000000,"Observations on the analogy which subsists between the calculus of functions and other branches of analysis. By Charles Babbage ..","Babbage, Charles","London : printed by W. Bulmerand Co. Cleveland-row, St. James's",1817,"* | Frontespizio | 1
* | Epigramma | 2
* | Observations | 3
"
438,TO00178822_TO0324_1052_000001,"Bollettino dei Musei di zoologia ed anatomia comparata della R. Universita di Torino N. 1-18","nan","Torino : [s. n.]",1886,"* | Copertina | 1
* | Frontespizio | 5
* | Indice | 7
* | Bollettino dei Musei di Zoologia ed Anatomia comparata della R. Università di Torino | 9
"
439,TO00178822_TO0324_1052_000010,"Bollettino dei Musei di zoologia ed anatomia comparata della R. Universita di Torino N. 193-220","nan","Torino : [s. n.]",1886,"* | Copertina | 1
* | Frontespizio | 5
* | Indice | 7
* | Bollettino dei Musei di Zoologia ed Anatomia comparata della R. Università di Torino | 9
* | Indice alfabetico pel Decennio-1896 243 | 1886
* | Copertina | 257
"
440,TO00178822_TO0324_1052_000022,"Bollettino dei Musei di zoologia ed anatomia comparata della R. Universita di Torino N. 546-575","nan","Torino : [s. n.]",1886,"* | Copertina | 1
* | Frontespizio | 5
* | Indice | 7
* | Bollettino dei Musei di Zoologia ed Anatomia comparata della R. Università di Torino | 9
* | Copertina | 237
"
441,TO00178822_TO0324_1052_000024,"Bollettino dei Musei di zoologia ed anatomia comparata della R. Universita di Torino N. 596-615","nan","Torino : [s. n.]",1886,"* | Copertina | 1
